PID,Country,Age,Gender,Counterbalance,Video_Gender,Smart,Behave,Grades,Edu_asp,nationality,nationality_other,origin,origin_other,parent,employment,employment_other,occupation,occupation_other,ethnicity,ethnicity_other,Education,SES,income_annual,,
R232,2,33,Male,1,2,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"$45,000  - $78,999",,
R234,2,24,Male,2,1,1,1,1,Bachelor's degree or Honors degree,Other (please specify):,colombia,Other (please specify):,colombia,No,Part-time,,Service,,Latinx/Hispanic,,Bachelor's degree or Honors degree,6,"Less than $21,999",,
R238,2,45,Male,1,1,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,No,Full-time,,"Management, professional, and related",,Asian,,Master's degree,7,"$45,000  - $78,999",,
R242,2,69,Male,1,1,1,1,1,Associate's degree or Certificate/Diploma,Canada,,Canada,,Yes,Part-time,,"Management, professional, and related",,Caucasian,,Some college/university,6,"$45,000  - $78,999",,
R245,2,57,Female,1,2,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Other,homemaker,Unemployed,,Asian,,Bachelor's degree or Honors degree,5,"$45,000  - $78,999",,
R246,2,37,Male,1,2,1,1,1,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Full-time,,Service,,Caucasian,,Associate's degree or Certificate/Diploma,6,"$45,000  - $78,999",,
R252,2,64,Female,1,1,1,1,1,Some college/university,Canada,,Canada,,No,Full-time,,Sales and office,,Caucasian,,Some college/university,4,"$45,000  - $78,999",,
R253,2,34,Female,2,2,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Full-time,,Other (please specify),Care aid,Caucasian,,Associate's degree or Certificate/Diploma,5,"$45,000  - $78,999",,
R262,2,33,Female,1,1,1,1,1,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Full-time,,Service,,Caucasian,,Associate's degree or Certificate/Diploma,6,"$22,000  - $44,999",,
R263,2,46,Female,1,2,1,1,0,PhD or other higher postgraduate degrees,Canada,,Canada,,No,Part-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,6,"$22,000  - $44,999",,
160,2,43,Male,2,2,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Full-time,,"Farming, fishing, and forestry",,Caucasian,,High/Secondary school,5,"$22,000 - $44,999",,
164,2,60,Male,2,1,1,1,1,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Part-time,,Government,,Caucasian,,Associate's degree or Certificate/Diploma,6,"$22,000 - $44,999",,
190,2,77,Male,1,2,1,1,1,High/Secondary school,Canada,,Canada,,No,Retired,,Retired,,Caucasian,,Associate's degree or Certificate/Diploma,5,"Less than $21,999",,
210,2,39,Female,2,2,1,1,1,Associate's degree or Certificate/Diploma,Canada,,Other (please specify):,china,Yes,Part-time,,Service,,Asian,,Master's degree,5,"Less than $21,999",,
216,2,38,Female,2,2,1,1,1,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Full-time,,Other (please specify),Office Administrator,African,,Some college/university,5,"$45,000 - $78,999",,
235,2,47,Female,2,2,1,1,1,Bachelor's degree or Honors degree,Canada,,Other (please specify):,hungary,Yes,Retired,,Retired,,Other,europ,Some high/secondary school,3,"$22,000 - $44,999",,
236,2,23,Female,2,1,1,1,1,High/Secondary school,Canada,,Canada,,No,Unemployed,,Unemployed,,Asian,,Bachelor's degree or Honors degree,5,"Less than $21,999",,
239,2,47,Male,2,2,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,No,Part-time,,Service,,Caucasian,,Some college/university,5,"$22,000 - $44,999",,
251,2,49,Male,2,1,1,1,1,Some college/university,Canada,,Canada,,No,Unemployed,,Unemployed,,Asian,,Associate's degree or Certificate/Diploma,4,"$22,000 - $44,999",,
304,2,51,Female,1,1,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Other,Disability,Other (please specify),Disability,Caucasian,,High/Secondary school,1,"Less than $21,999",,
N321,2,39,Male,1,2,1,1,1,Bachelor's degree or Honors degree,"United States of America,Canada",,"United States of America,Canada",,No,Full-time,,Sales and office,,Asian,,Bachelor's degree or Honors degree,6,"$79,000 - $111,999",,
N322,2,52,Male,1,1,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,No,Unemployed,,Unemployed,,Asian,,Bachelor's degree or Honors degree,5,"$22,000  - $44,999",,
N329,2,39,Male,2,2,1,1,1,Some college/university,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Associate's degree or Certificate/Diploma,6,"$79,000 - $111,999",,
N352,2,27,Male,1,2,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,No,Part-time,,Service,,Other,mixed,Bachelor's degree or Honors degree,5,"$22,000  - $44,999",,
N376,2,28,Female,2,2,1,1,0,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Full-time,,Service,,Other,canadian,Associate's degree or Certificate/Diploma,5,"Less than $21,999",,
N383,2,30,Female,2,1,1,1,1,High/Secondary school,Canada,,Canada,,Yes,Student,,Student,,Caucasian,,High/Secondary school,3,"$45,000  - $78,999",,
N396,2,56,Female,2,1,1,1,1,Some college/university,Canada,,Canada,,No,Full-time,,Other (please specify),MANUFACTURING,Caucasian,,High/Secondary school,7,"$45,000  - $78,999",,
N401,2,51,Female,2,1,1,1,1,High/Secondary school,Canada,,Canada,,No,Retired,,Retired,,Caucasian,,High/Secondary school,6,"Less than $21,999",,
N411,2,31,Female,2,1,1,1,1,Some high/secondary school,Canada,,Canada,,Yes,Other,Mat leave ,Other (please specify),Massage,Caucasian,,Some high/secondary school,5,"Less than $21,999",,
N414,2,62,Female,2,1,1,1,1,Some college/university,Canada,,Canada,,Yes,Full-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,7,"$112,000 -  $159,999",,
R210,2,28,Female,1,1,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,No,Full-time,,"Management, professional, and related",,"Caucasian,Asian",,Master's degree,6,I don't know,,
R211,2,43,Male,2,2,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,No,Full-time,,"Service,Sales and office",,Asian,,Some college/university,5,"$22,000  - $44,999",,
R215,2,27,Female,2,2,1,1,1,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Full-time,,Other (please specify),Artist ,Caucasian,,Associate's degree or Certificate/Diploma,6,"Less than $21,999",,
R217,2,38,Female,2,2,1,1,1,High/Secondary school,Canada,,Canada,,Yes,Full-time,,Government,,Caucasian,,Master's degree,7,"$112,000 -  $159,999",,
R221,2,40,Female,1,2,1,1,1,High/Secondary school,Canada,,Canada,,No,Unemployed,,Unemployed,,Asian,,Bachelor's degree or Honors degree,7,I don't know,,
R223,2,20,Female,1,2,1,1,1,Some college/university,Canada,,Canada,,No,Part-time,,Service,,"Caucasian,Asian",,Some college/university,2,"Less than $21,999",,
R230,2,79,Male,1,1,1,1,1,Master's degree,Canada,,Canada,,No,Retired,,Retired,,Caucasian,,Some high/secondary school,5,"$79,000 - $111,999",,
R237,2,42,Male,1,1,1,1,0,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,7,"$45,000  - $78,999",,
R239,2,60,Male,1,2,1,1,0,Some college/university,Canada,,Canada,,No,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,High/Secondary school,5,"$79,000 - $111,999",,
R249,2,71,Male,2,1,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,7,"Less than $21,999",,
192,2,58,Female,1,1,1,1,1,High/Secondary school,Canada,,Canada,,No,Other,permanently disabled unable to work,Other (please specify),unable to work,Caucasian,,High/Secondary school,4,"Less than $21,999",,
316,2,24,Female,2,1,1,1,1,High/Secondary school,Canada,,Canada,,No,Unemployed,,Unemployed,,Asian,,Bachelor's degree or Honors degree,5,I don't know,,
N332,2,22,Male,2,2,1,1,1,High/Secondary school,Canada,,Canada,,No,Student,,Student,,Caucasian,,High/Secondary school,8,"$79,000 - $111,999",,
N334,2,67,Male,2,2,1,1,1,High/Secondary school,Canada,,Canada,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,7,"$22,000  - $44,999",,
N384,2,37,Female,1,1,1,1,1,Bachelor's degree or Honors degree,Canada,,Other (please specify):,China,Yes,Full-time,,Service,,Asian,,Bachelor's degree or Honors degree,5,"$22,000  - $44,999",,
N388,2,54,Female,1,2,1,1,0,Some college/university,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"$79,000 - $111,999",,
N415,2,40,Female,2,2,1,1,1,Master's degree,Canada,,Other (please specify):,El Salvador,Yes,Full-time,,Government,,Latinx/Hispanic,,Master's degree,6,"$112,000 -  $159,999",,
R218,2,33,Male,2,1,1,1,1,High/Secondary school,Canada,,"Canada,Other (please specify):",Hong Kong,No,Other,Self-employed,Service,,Asian,,Bachelor's degree or Honors degree,6,"$22,000  - $44,999",,
R219,2,40,Female,2,1,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,No,Part-time,,Sales and office,,Caucasian,,Bachelor's degree or Honors degree,7,"Less than $21,999",,
R227,2,34,Female,2,1,1,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,No,Unemployed,,Unemployed,,Caucasian,,Bachelor's degree or Honors degree,6,"Less than $21,999",,
180,2,64,Male,2,1,1,1,0,High/Secondary school,Canada,,Canada,,Yes,Part-time,,"Production, transportation, and material moving",,Caucasian,,Some college/university,7,"$79,000 - $111,999",,
183,2,43,Male,2,1,1,1,1,Some college/university,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"$45,000 - $78,999",,
229,2,25,Male,1,1,1,1,1,High/Secondary school,Canada,,Canada,,No,Full-time,,Service,,"Caucasian,Native American",,Bachelor's degree or Honors degree,6,"$22,000 - $44,999",,
288,2,63,Female,2,1,1,1,1,High/Secondary school,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"More than $160,0000",,
290,2,35,Female,2,2,1,1,1,Some college/university,Canada,,Canada,,Yes,Full-time,,Service,,Caucasian,,Associate's degree or Certificate/Diploma,6,"$45,000 - $78,999",,
296,2,21,Female,2,2,1,1,1,High/Secondary school,Canada,,Canada,,Yes,Other,Stay at home Mom,Other (please specify),Stay at home Mom,Caucasian,,High/Secondary school,6,"$45,000 - $78,999",,
N369,2,45,Female,1,1,1,1,1,High/Secondary school,Canada,,Canada,,Yes,Part-time,,"Service,Student",,Caucasian,,Some college/university,4,"$22,000  - $44,999",,
N378,2,26,Female,1,2,1,1,1,High/Secondary school,Canada,,Canada,,No,Full-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,4,"$45,000  - $78,999",,
N379,2,37,Female,1,1,1,1,1,Associate's degree or Certificate/Diploma,Canada,,Canada,,Yes,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,Associate's degree or Certificate/Diploma,5,"$45,000  - $78,999",,
R243,2,21,Male,1,1,1,1,0,Associate's degree or Certificate/Diploma,Canada,,Canada,,Yes,Part-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,8,"$45,000  - $78,999",,
R258,2,28,Female,1,2,1,1,1,Bachelor's degree or Honors degree,Canada,,Other (please specify):,Egypt ,Yes,Unemployed,,Unemployed,,Other,Arab,Bachelor's degree or Honors degree,4,"Less than $21,999",,
N335,2,31,Male,1,1,1,1,1,High/Secondary school,Canada,,Canada,,Yes,Full-time,,"Construction, extraction, and maintenance",,"Caucasian,Native American",,High/Secondary school,4,"$45,000  - $78,999",,
R214,2,40,Male,1,2,1,1,0,PhD or other higher postgraduate degrees,"Canada,Other (please specify):",Brazil,Other (please specify):,Brazil,Yes,Full-time,,Other (please specify),IT,"Caucasian,Latinx/Hispanic",,Master's degree,7,"$112,000 -  $159,999",,
R256,2,49,Female,1,2,1,1,1,PhD or other higher postgraduate degrees,Canada,,Canada,,No,Retired,,Retired,,Caucasian,,Some college/university,2,"Less than $21,999",,
R259,2,48,Female,1,2,1,,1,Bachelor's degree or Honors degree,Canada,,Canada,,No,Part-time,,Other (please specify),retail,Caucasian,,Bachelor's degree or Honors degree,7,"$22,000  - $44,999",,
N346,2,55,Male,2,2,1,,,Some high/secondary school,Canada,,Canada,,No,Full-time,,"Construction, extraction, and maintenance",,Native American,,Some college/university,8,"Less than $21,999",,
378,3,68,Male,2,1,1,0,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,6,"£61,001 - £92,400",,
463,3,49,Female,2,1,1,0,0,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,2,"Less than - £21,000",,
331,3,22,Male,2,1,1,0,0,PhD or other higher postgraduate degrees,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,African,,Bachelor's degree or Honors degree,9,"£61,001 - £92,400",,
416,3,52,Female,2,1,1,0,0,PhD or other higher postgraduate degrees,United Kingdom,,United Kingdom,,No,Full-time,,Sales and office,,Caucasian,,High/Secondary school,5,"Less than - £21,000",,
N443,3,37,Male,1,1,1,0,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,Government,,Caucasian,,Some college/university,6,"£43,701 - £61,000",,
N460,3,39,Male,2,1,1,0,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Asian,,Some college/university,5,"£27,701 - £43,700",,
N469,3,48,Female,1,2,1,0,0,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,4,"Less than - £21,000",,
N495,3,56,Female,1,1,1,0,0,Some high/secondary school,United Kingdom,,United Kingdom,,Yes,Part-time,,Sales and office,,Aboriginal Australian,,High/Secondary school,10,"£43,701 - £61,000",,
N515,3,65,Female,2,2,1,0,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,2,"Less than - £21,000",,
N516,3,66,Female,1,2,1,0,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Retired,,Unemployed,,Caucasian,,High/Secondary school,4,"Less than - £21,000",,
R184,3,62,Male,1,2,1,0,0,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Full-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,9,"£27,701 - £43,700",,
R193,3,62,Male,2,1,1,0,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,"Production, transportation, and material moving",,Caucasian,,High/Secondary school,6,"Less than - £21,000",,
332,3,28,Female,2,2,1,0,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,5,"£27,701 - £43,700",,
373,3,32,Male,1,1,1,0,1,PhD or other higher postgraduate degrees,United Kingdom,,United Kingdom,,Yes,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,Bachelor's degree or Honors degree,8,"£43,701 - £61,000",,
402,3,61,Male,1,1,1,0,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Unemployed,,Retired,,Caucasian,,Bachelor's degree or Honors degree,7,"Less than - £21,000",,
N420,3,24,Male,1,1,1,0,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,Sales and office,,Caucasian,,Some college/university,4,"£21,001 - £27,700",,
N463,3,37,Male,2,2,1,0,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,5,"£21,001 - £27,700",,
393,3,55,Male,1,2,1,0,1,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,No,Full-time,,Sales and office,,Caucasian,,Some college/university,2,"Less than - £21,000",,
R144,3,23,Male,1,2,1,0,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,3,"£27,701 - £43,700",,
345,3,80,Male,2,2,1,0,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,6,"£27,701 - £43,700",,
342,3,82,Female,2,2,1,1,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Retired,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,8,"£43,701 - £61,000",,
343,3,64,Male,1,2,1,1,1,Master's degree,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,6,"Less than - £21,000",,
344,3,78,Male,2,1,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Some high/secondary school,5,"Less than - £21,000",,
350,3,34,Female,2,1,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,PhD or other higher postgraduate degrees,6,"£43,701 - £61,000",,
374,3,50,Male,1,2,1,1,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Full-time,,Sales and office,,Caucasian,,Master's degree,6,"More than £92,401",,
386,3,35,Female,2,2,1,1,1,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Other,Mixed,Bachelor's degree or Honors degree,8,"More than £92,401",,
392,3,59,Male,2,1,1,1,1,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,Yes,Full-time,,"Production, transportation, and material moving",,Caucasian,,High/Secondary school,4,"£27,701 - £43,700",,
420,3,48,Female,2,2,1,1,1,Some high/secondary school,United Kingdom,,United Kingdom,,Yes,Other,,Other (please specify),I'm a carer for my special needs son,Caucasian,,High/Secondary school,8,"£21,001 - £27,700",,
422,3,68,Male,2,2,1,1,1,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"£27,701 - £43,700",,
437,3,33,Male,2,2,1,1,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Full-time,,Sales and office,,Caucasian,,High/Secondary school,7,"£21,001 - £27,700",,
453,3,51,Female,1,2,1,1,0,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Part-time,,Other (please specify),Catering,Other,White,High/Secondary school,1,"Less than - £21,000",,
455,3,21,Female,2,2,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Full-time,,Sales and office,,Caucasian,,Some college/university,4,"£21,001 - £27,700",,
469,3,47,Female,1,2,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,African,,Master's degree,7,"£43,701 - £61,000",,
N428,3,40,Male,1,1,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Full-time,,Other (please specify),engineering,Caucasian,,Some college/university,6,"£61,001 - £92,400",,
N438,3,26,Male,2,2,1,1,1,Some college/university,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,7,"£27,701 - £43,700",,
N447,3,40,Male,2,2,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,African,,Master's degree,8,"£61,001 - £92,400",,
N464,3,45,Male,2,2,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,High/Secondary school,5,"£27,701 - £43,700",,
N471,3,55,Female,2,1,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Associate's degree or Certificate/Diploma,5,"£43,701 - £61,000",,
N477,3,54,Female,1,2,1,1,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Part-time,,Service,,Caucasian,,High/Secondary school,4,"Less than - £21,000",,
N478,3,45,Female,2,1,1,1,0,Master's degree,United Kingdom,,United Kingdom,,Yes,Full-time,,"Production, transportation, and material moving",,Caucasian,,High/Secondary school,7,"£21,001 - £27,700",,
N487,3,55,Female,1,2,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,6,"£27,701 - £43,700",,
N493,3,46,Female,1,1,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,Sales and office,,Caucasian,,Bachelor's degree or Honors degree,4,"£27,701 - £43,700",,
N500,3,62,Female,2,1,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Part-time,,Other (please specify),Kitchen assistant,Caucasian,,High/Secondary school,9,"Less than - £21,000",,
R141,3,42,Male,2,2,1,1,1,PhD or other higher postgraduate degrees,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,10,"£61,001 - £92,400",,
R142,3,51,Female,1,1,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Part-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"Less than - £21,000",,
R149,3,70,Female,2,1,1,1,0,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,4,"Less than - £21,000",,
R160,3,48,Female,2,2,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,7,"£27,701 - £43,700",,
R161,3,29,Female,1,1,1,1,0,Some college/university,United Kingdom,,United Kingdom,,Yes,Part-time,,"Management, professional, and related",,Asian,,Master's degree,9,"Less than - £21,000",,
R162,3,42,Female,1,1,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Other,disabled cant work,Unemployed,,Caucasian,,Some college/university,1,"Less than - £21,000",,
R183,3,41,Male,1,1,1,1,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Full-time,,"Production, transportation, and material moving",,Other,EUROPEN,High/Secondary school,7,"£43,701 - £61,000",,
R194,3,62,Male,2,1,1,1,1,Some college/university,United Kingdom,,United Kingdom,,No,Retired,,Retired,,Caucasian,,High/Secondary school,3,"Less than - £21,000",,
R201,3,20,Male,1,2,1,1,1,Some college/university,United Kingdom,,United Kingdom,,No,Student,,Student,,African,,High/Secondary school,6,I don't know,,
323,3,62,Male,1,2,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Retired,,"Management, professional, and related",,Caucasian,,High/Secondary school,7,"£21,001 - £27,700",,
329,3,54,Female,2,2,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,2,"£27,701 - £43,700",,
356,3,65,Male,2,1,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Associate's degree or Certificate/Diploma,7,"£27,701 - £43,700",,
364,3,52,Female,1,1,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Part-time,,Other (please specify),Education,Caucasian,,Bachelor's degree or Honors degree,7,I don't know,,
372,3,38,Male,2,1,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"£43,701 - £61,000",,
376,3,35,Male,2,1,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Part-time,,Sales and office,,Asian,,Bachelor's degree or Honors degree,6,I don't know,,
382,3,45,Female,2,2,1,1,1,Master's degree,United Kingdom,,United Kingdom,,Yes,Unemployed,,Unemployed,,Asian,,Some high/secondary school,7,"Less than - £21,000",,
389,3,67,Male,2,1,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,4,"Less than - £21,000",,
390,3,55,Male,2,2,1,1,0,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,2,"Less than - £21,000",,
397,3,43,Female,1,2,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,PhD or other higher postgraduate degrees,2,"Less than - £21,000",,
398,3,62,Male,2,1,1,1,1,Master's degree,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"£27,701 - £43,700",,
403,3,72,Male,2,1,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Part-time,,"Management, professional, and related",,Caucasian,,Master's degree,8,"£43,701 - £61,000",,
417,3,40,Male,1,2,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,7,"£43,701 - £61,000",,
418,3,45,Male,2,2,1,1,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Full-time,,Other (please specify),Employee,African,,Bachelor's degree or Honors degree,6,"£21,001 - £27,700",,
428,3,38,Female,2,2,1,1,1,PhD or other higher postgraduate degrees,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"More than £92,401",,
431,3,28,Female,1,1,1,1,1,Some college/university,United Kingdom,,United Kingdom,,No,Full-time,,"Farming, fishing, and forestry",,Caucasian,,Bachelor's degree or Honors degree,5,"Less than - £21,000",,
451,3,24,Male,2,1,1,1,0,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,"Asian,Other",English,Master's degree,7,"£43,701 - £61,000",,
460,3,47,Female,2,2,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Part-time,,Service,,Caucasian,,Associate's degree or Certificate/Diploma,6,"Less than - £21,000",,
468,3,47,Female,2,2,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Student,,Student,,Other,,High/Secondary school,7,"£21,001 - £27,700",,
471,3,22,Male,1,2,1,1,1,High/Secondary school,"United States of America,United Kingdom",,"United States of America,United Kingdom",,No,Full-time,,Service,,Middle Eastern,,Bachelor's degree or Honors degree,6,"£43,701 - £61,000",,
N422,3,37,Male,1,2,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Caucasian,,Some college/university,5,"£27,701 - £43,700",,
N426,3,24,Male,1,1,1,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,7,"£61,001 - £92,400",,
N427,3,28,Male,2,2,1,1,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Full-time,,Government,,Caucasian,,Some college/university,7,"£27,701 - £43,700",,
N430,3,30,Male,2,2,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,7,"Less than - £21,000",,
N441,3,23,Male,2,1,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,Other (please specify),Pr executive ,Caucasian,,High/Secondary school,7,"£21,001 - £27,700",,
N445,3,32,Male,1,1,1,1,1,Some college/university,United Kingdom,,United Kingdom,,No,Full-time,,Service,,Caucasian,,High/Secondary school,2,"£27,701 - £43,700",,
N446,3,25,Male,1,1,1,1,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,Government,,Other,,High/Secondary school,4,"£21,001 - £27,700",,
N448,3,29,Male,2,1,1,1,1,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Caucasian,,Associate's degree or Certificate/Diploma,7,"£27,701 - £43,700",,
